2018-03-07 16:20:55,300 [main] INFO  b.c.c.s.d.s.application.Application - Starting Application on DESKTOP-JDC7V73 with PID 11868 (C:\Users\Jean\Documents\spring-jpa-jersey\target\classes started by Jean in C:\Users\Jean\Documents\spring-jpa-jersey)
2018-03-07 16:20:55,317 [main] INFO  b.c.c.s.d.s.application.Application - No active profile set, falling back to default profiles: default
2018-03-07 16:21:02,536 [main] INFO  b.c.c.s.d.s.application.Application - Started Application in 8.245 seconds (JVM running for 10.286)
2018-03-07 16:25:26,600 [main] INFO  b.c.c.s.d.s.application.Application - Starting Application on DESKTOP-JDC7V73 with PID 17508 (C:\Users\Jean\Documents\spring-jpa-jersey\target\classes started by Jean in C:\Users\Jean\Documents\spring-jpa-jersey)
2018-03-07 16:25:26,605 [main] INFO  b.c.c.s.d.s.application.Application - No active profile set, falling back to default profiles: default
2018-03-07 16:25:33,661 [main] INFO  b.c.c.s.d.s.application.Application - Started Application in 8.114 seconds (JVM running for 10.021)
2018-03-07 16:25:57,523 [main] INFO  b.c.c.s.d.s.application.Application - Starting Application on DESKTOP-JDC7V73 with PID 10256 (C:\Users\Jean\Documents\spring-jpa-jersey\target\classes started by Jean in C:\Users\Jean\Documents\spring-jpa-jersey)
2018-03-07 16:25:57,532 [main] INFO  b.c.c.s.d.s.application.Application - No active profile set, falling back to default profiles: default
2018-03-07 16:26:04,851 [main] INFO  b.c.c.s.d.s.application.Application - Started Application in 8.39 seconds (JVM running for 10.242)
2018-03-07 16:26:31,923 [main] INFO  b.c.c.s.d.s.application.Application - Starting Application on DESKTOP-JDC7V73 with PID 14432 (C:\Users\Jean\Documents\spring-jpa-jersey\target\classes started by Jean in C:\Users\Jean\Documents\spring-jpa-jersey)
2018-03-07 16:26:31,932 [main] INFO  b.c.c.s.d.s.application.Application - No active profile set, falling back to default profiles: default
2018-03-07 16:26:38,834 [main] INFO  b.c.c.s.d.s.application.Application - Started Application in 7.78 seconds (JVM running for 9.618)
2018-03-07 16:27:00,113 [main] INFO  b.c.c.s.d.s.application.Application - Starting Application on DESKTOP-JDC7V73 with PID 13320 (C:\Users\Jean\Documents\spring-jpa-jersey\target\classes started by Jean in C:\Users\Jean\Documents\spring-jpa-jersey)
2018-03-07 16:27:00,119 [main] INFO  b.c.c.s.d.s.application.Application - No active profile set, falling back to default profiles: default
2018-03-07 16:27:07,309 [main] INFO  b.c.c.s.d.s.application.Application - Started Application in 8.014 seconds (JVM running for 10.443)
2018-03-07 16:27:17,932 [main] INFO  b.c.c.s.d.s.application.Application - Starting Application on DESKTOP-JDC7V73 with PID 9204 (C:\Users\Jean\Documents\spring-jpa-jersey\target\classes started by Jean in C:\Users\Jean\Documents\spring-jpa-jersey)
2018-03-07 16:27:17,937 [main] INFO  b.c.c.s.d.s.application.Application - No active profile set, falling back to default profiles: default
2018-03-07 16:27:24,802 [main] INFO  b.c.c.s.d.s.application.Application - Started Application in 7.749 seconds (JVM running for 9.484)
